Date;Year;Month_Number;Month_Name;Month_Name_FR;Quarter_Number;Quarter_Label;PI_Planning;Week_Number;Day_Number;Day_Name;Day_Name_FR;Day_Of_Week;Is_Weekend;Is_Weekday;Semester;Year_Month;Year_Week
14/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;37;14;Sunday;Dimanche;7;YES;NO;S2;2025-09;2025-W37
15/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;38;15;Monday;Lundi;1;NO;YES;S2;2025-09;2025-W38
16/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;38;16;Tuesday;Mardi;2;NO;YES;S2;2025-09;2025-W38
17/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;38;17;Wednesday;Mercredi;3;NO;YES;S2;2025-09;2025-W38
18/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;38;18;Thursday;Jeudi;4;NO;YES;S2;2025-09;2025-W38
19/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;38;19;Friday;Vendredi;5;NO;YES;S2;2025-09;2025-W38
20/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;38;20;Saturday;Samedi;6;YES;NO;S2;2025-09;2025-W38
21/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;38;21;Sunday;Dimanche;7;YES;NO;S2;2025-09;2025-W38
22/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;39;22;Monday;Lundi;1;NO;YES;S2;2025-09;2025-W39
23/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;39;23;Tuesday;Mardi;2;NO;YES;S2;2025-09;2025-W39
24/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;39;24;Wednesday;Mercredi;3;NO;YES;S2;2025-09;2025-W39
25/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;39;25;Thursday;Jeudi;4;NO;YES;S2;2025-09;2025-W39
26/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;39;26;Friday;Vendredi;5;NO;YES;S2;2025-09;2025-W39
27/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;39;27;Saturday;Samedi;6;YES;NO;S2;2025-09;2025-W39
28/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;39;28;Sunday;Dimanche;7;YES;NO;S2;2025-09;2025-W39
29/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;40;29;Monday;Lundi;1;NO;YES;S2;2025-09;2025-W40
30/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;40;30;Tuesday;Mardi;2;NO;YES;S2;2025-09;2025-W40
01/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;40;1;Wednesday;Mercredi;3;NO;YES;S2;2025-10;2025-W40
02/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;40;2;Thursday;Jeudi;4;NO;YES;S2;2025-10;2025-W40
03/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;40;3;Friday;Vendredi;5;NO;YES;S2;2025-10;2025-W40
